Membership No  Date Joined  Active  
    24319      2015-9-12    no    
    38970      2019-7-23    no    
    73257      2016-9-14    no    
    31561      2015-11-10   no    
    20513      2015-11-20   no    
    74410      2016-6-4     no    
    12044      2020-12-19   no    
    39537      2017-11-25   no    
    28335      2017-7-7     no    
    27794      2019-5-15    no    
    65974      2018-8-12    no    
    94642      2018-10-24   no    
    26616      2019-12-10   no    
    49146      2015-5-15    no    
